Classroom,Subject,Student_Name,Student_Email,Subject_Teacher
578,Political Science,Olivia Red,olivia.red@student.org,Prof. Sam
331,Mathematics,Quincy Johnson,quincy.johnson@email.com,Prof. Hank
106,Political Science,Kelly Pink,kelly.pink@university.edu,Prof. Sam
533,Computer Science,Jack Magenta,jack.magenta@university.edu,Prof. Olivia
157,Anthropology,Mona Teal,mona.teal@email.com,Prof. Tina
349,Economics,Sam Pink,sam.pink@email.com,Prof. Quincy
246,Physics,Bob Yellow,bob.yellow@email.com,Prof. Nick
165,Psychology,Hank Yellow,hank.yellow@university.edu,Prof. Liam
366,Philosophy,Jack White,jack.white@university.edu,Prof. Liam
430,Art,Jack Green,jack.green@email.com,Prof. Bob
172,Statistics,Frank Black,frank.black@university.edu,Prof. Mona
115,Anthropology,Liam Cyan,liam.cyan@email.com,Prof. Hank
533,Music,Hank Blue,hank.blue@student.org,Prof. Frank
113,Political Science,Alice Orange,alice.orange@university.edu,Prof. Nick
158,Mathematics,Jack Cyan,jack.cyan@university.edu,Prof. Dana
457,Biology,Alice Brown,alice.brown@email.com,Prof. Olivia
301,Geography,Sam Yellow,sam.yellow@university.edu,Prof. Olivia
120,Psychology,Rita Red,rita.red@student.org,Prof. Quincy
388,Statistics,Grace Black,grace.black@university.edu,Prof. Paul
206,Computer Science,Alice Black,alice.black@university.edu,Prof. Olivia
507,Philosophy,Paul Yellow,paul.yellow@student.org,Prof. Nick
590,Statistics,Kelly Red,kelly.red@university.edu,Prof. Nick
105,English,Bob Indigo,bob.indigo@email.com,Prof. Liam
401,English,Sam Green,sam.green@student.org,Prof. Nick
321,Chemistry,Alice Pink,alice.pink@email.com,Prof. Bob
110,Physics,Hank White,hank.white@email.com,Prof. Ivy
317,Political Science,Dana Black,dana.black@university.edu,Prof. Quincy
477,Physics,Grace Davis,grace.davis@student.org,Prof. Bob
257,Chemistry,Bob Red,bob.red@university.edu,Prof. Alice
128,Political Science,Paul Orange,paul.orange@student.org,Prof. Quincy
169,Environmental Science,Liam Magenta,liam.magenta@email.com,Prof. Olivia
211,Anthropology,Tina Black,tina.black@university.edu,Prof. Tina
169,Mathematics,Charlie Black,charlie.black@email.com,Prof. Charlie
288,Psychology,Olivia Red,olivia.red@university.edu,Prof. Grace
442,History,Sam Black,sam.black@student.org,Prof. Hank
367,Art,Grace Johnson,grace.johnson@university.edu,Prof. Nick
169,Architecture,Alice Black,alice.black@email.com,Prof. Alice
180,Environmental Science,Alice Blue,alice.blue@email.com,Prof. Tina
243,Physics,Charlie Indigo,charlie.indigo@student.org,Prof. Kelly
189,Geography,Olivia Orange,olivia.orange@email.com,Prof. Mona
202,Art,Ivy Orange,ivy.orange@student.org,Prof. Paul
305,Geography,Quincy White,quincy.white@student.org,Prof. Charlie
433,Computer Science,Mona Purple,mona.purple@student.org,Prof. Paul
165,Sociology,Hank Cyan,hank.cyan@university.edu,Prof. Olivia
506,Philosophy,Olivia Black,olivia.black@university.edu,Prof. Frank
170,History,Paul Gray,paul.gray@email.com,Prof. Kelly
112,Statistics,Jack Blue,jack.blue@email.com,Prof. Nick
122,Music,Paul Green,paul.green@university.edu,Prof. Jack
515,Mathematics,Nick White,nick.white@student.org,Prof. Hank
196,Computer Science,Frank Johnson,frank.johnson@student.org,Prof. Sam
220,Philosophy,Bob Black,bob.black@email.com,Prof. Liam
428,Geography,Grace Black,grace.black@student.org,Prof. Paul
256,Economics,Eve Violet,eve.violet@university.edu,Prof. Mona
419,Computer Science,Hank Indigo,hank.indigo@student.org,Prof. Ivy
221,Engineering,Jack Davis,jack.davis@university.edu,Prof. Jack
183,Environmental Science,Ivy Red,ivy.red@email.com,Prof. Quincy
